country,renew_pc
Afghanistan,2008.0
Albania,10425.0
Algeria,294.2
Andorra,4479.0
Angola,5931.0
Antigua and Barbuda,566.3
Argentina,20181.0
Armenia,2574.0
Australia,20527.0
Austria,9093.0
Azerbaijan,3555.0
Bahamas,1804.0
Bahrain,84.24
Bangladesh,7621.0
Barbados,281.5
Belarus,6097.0
Belgium,1620.0
Belize,60479.0
Benin,2426.0
Bhutan,100671.0
Bolivia (Plurinational State of),53520.0
Bosnia and Herzegovina,9843.0
Botswana,5411.0
Brazil,41603.0
Brunei Darussalam,20085.0
Bulgaria,2979.0
Burkina Faso,745.6
Burundi,1122.0
Cabo Verde,576.4
Cambodia,30562.0
Cameroon,12127.0
Canada,80746.0
Central African Republic,28776.0
Chad,3256.0
Chile,51432.0
China,2018.0
Colombia,48933.0
Comoros,1522.0
Congo,180087.0
Cook Islands,
Costa Rica,23502.0
Croatia,24882.0
Cuba,3347.0
Cyprus,669.5
Czechia,1247.0
C̫te d'Ivoire,3706.0
Democratic People's Republic of Korea,3067.0
Democratic Republic of the Congo,16605.0
Denmark,1058.0
Djibouti,337.9
Dominica,2752.0
Dominican Republic,2232.0
Ecuador,27403.0
Egypt,637.1
El Salvador,4288.0
Equatorial Guinea,30766.0
Eritrea,1399.0
Estonia,9756.0
Ethiopia,1227.0
Faroe Islands,
Fiji,32003.0
Finland,19989.0
France,3277.0
Gabon,96232.0
Gambia,4018.0
Georgia,15832.0
Germany,1909.0
Ghana,2050.0
Greece,6244.0
Grenada,1873.0
Guatemala,7826.0
Guinea,17924.0
Guinea-Bissau,17028.0
Guyana,353279.0
Haiti,1310.0
Honduras,11413.0
Hungary,10553.0
Iceland,516090.0
India,1458.0
Indonesia,7839.0
Iran (Islamic Republic of),1732.0
Iraq,2467.0
Ireland,11092.0
Israel,220.7
Italy,3199.0
Jamaica,3874.0
Japan,3397.0
Jordan,123.4
Kazakhstan,6150.0
Kenya,666.7
Kiribati,
Kuwait,5.138999999999999
Kyrgyzstan,3976.0
Lao People's Democratic Republic,49030.0
Latvia,17736.0
Lebanon,769.6
Lesotho,1415.0
Liberia,51521.0
Libya,111.5
Lithuania,8513.0
Luxembourg,6172.0
Madagascar,13906.0
Malawi,1004.0
Malaysia,19122.0
Maldives,82.49
Mali,6818.0
Malta,120.6
Marshall Islands,
Mauritania,2802.0
Mauritius,2161.0
Mexico,3637.0
Micronesia (Federated States of),
Mongolia,11761.0
Morocco,843.6
Mozambique,7760.0
Myanmar,21671.0
Namibia,16230.0
Nauru,
Nepal,7372.0
Netherlands,5377.0
New Zealand,72201.0
Nicaragua,27047.0
Niger,1711.0
Nigeria,1571.0
Niue,
Norway,75417.0
Occupied Palestinian Territory,179.3
Oman,311.7
Pakistan,1306.0
Palau,
Panama,35454.0
Papua New Guinea,105132.0
Paraguay,58412.0
Peru,59916.0
Philippines,4757.0
Poland,1567.0
Portugal,7478.0
Puerto Rico,1928.0
Qatar,25.95
Republic of Korea,1386.0
Republic of Moldova,3015.0
Romania,10866.0
Russian Federation,31543.0
Rwanda,1146.0
Saint Kitts and Nevis,431.9
Saint Lucia,1622.0
Saint Vincent and the Grenadines,913.2
Samoa,
Sao Tome and Principe,11456.0
Saudi Arabia,76.09
Senegal,2576.0
Serbia,18326.0
Seychelles,
Sierra Leone,24795.0
Singapore,107.1
Slovakia,9233.0
Slovenia,15411.0
Solomon Islands,76594.0
Somalia,1363.0
South Africa,942.4
South Sudan,4011.0
Spain,2418.0
Sri Lanka,2549.0
Sudan,939.5
Suriname,182320.0
Swaziland,3504.0
Sweden,17793.0
Switzerland,6447.0
Syrian Arab Republic,908.0
Tajikistan,2583.0
Thailand,6454.0
The former Yugoslav Republic of Macedonia,3080.0
Timor-Leste,6932.0
Togo,2012.0
Tokelau,
Tonga,
Trinidad and Tobago,2824.0
Tunisia,410.1
Turkey,2690.0
Turkmenistan,4609.0
Tuvalu,
Uganda,1540.0
Ukraine,3911.0
United Arab Emirates,16.38
United Kingdom,2271.0
United Republic of Tanzania,1800.0
United States of America,9538.0
Uruguay,50175.0
Uzbekistan,1635.0
Vanuatu,37793.0
Venezuela (Bolivarian Republic of),42594.0
Viet Nam,9461.0
Yemen,78.26
Zambia,6464.0
Zimbabwe,1282.0
